"","ID","Description","Count","GeneRatio","geneID"
"GO:0050794","GO:0050794","regulation of cellular process",13,"13/50","SCGN/FKBP1C/MGARP/NGF/HSPB1/CMKLR1/SELP/PSG1/SELE/CPHXL/PSG6/PDC/GPR171"
"GO:0050789","GO:0050789","regulation of biological process",13,"13/50","SCGN/FKBP1C/MGARP/NGF/HSPB1/CMKLR1/SELP/PSG1/SELE/CPHXL/PSG6/PDC/GPR171"
"GO:0051716","GO:0051716","cellular response to stimulus",11,"11/50","MGARP/NPC1L1/NGF/HSPB1/CMKLR1/SELP/PSG1/SELE/PSG6/PDC/GPR171"
"GO:0007154","GO:0007154","cell communication",10,"10/50","SCGN/NGF/HSPB1/CMKLR1/SELP/PSG1/SELE/PSG6/PDC/GPR171"
"GO:0023052","GO:0023052","signaling",10,"10/50","SCGN/NGF/HSPB1/CMKLR1/SELP/PSG1/SELE/PSG6/PDC/GPR171"
"GO:0044238","GO:0044238","primary metabolic process",9,"9/50","FKBP1C/HGFAC/NPC1L1/NGF/HSPB1/CMKLR1/RBP2/APOBEC4/CPHXL"
"GO:0071704","GO:0071704","organic substance metabolic process",9,"9/50","FKBP1C/HGFAC/NPC1L1/NGF/HSPB1/CMKLR1/RBP2/APOBEC4/CPHXL"
"GO:0007165","GO:0007165","signal transduction",9,"9/50","NGF/HSPB1/CMKLR1/SELP/PSG1/SELE/PSG6/PDC/GPR171"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",8,"8/50","FKBP1C/HGFAC/NPC1L1/NGF/HSPB1/CMKLR1/APOBEC4/CPHXL"
"GO:0044237","GO:0044237","cellular metabolic process",8,"8/50","HGFAC/NPC1L1/NGF/HSPB1/CMKLR1/RBP2/APOBEC4/CPHXL"
"GO:0009058","GO:0009058","biosynthetic process",7,"7/50","HGFAC/NPC1L1/NGF/HSPB1/CMKLR1/APOBEC4/CPHXL"
"GO:0048522","GO:0048522","positive regulation of cellular process",7,"7/50","SCGN/MGARP/NGF/HSPB1/CMKLR1/SELP/SELE"
"GO:0048518","GO:0048518","positive regulation of biological process",7,"7/50","SCGN/MGARP/NGF/HSPB1/CMKLR1/SELP/SELE"
"GO:0006950","GO:0006950","response to stress",7,"7/50","MGARP/HGFAC/NPC1L1/HSPB1/CMKLR1/SELP/SELE"
"GO:0051234","GO:0051234","establishment of localization",7,"7/50","FKBP1C/MGARP/NPC1L1/HSPB1/CLEC4F/RBP2/SELE"
"GO:0002682","GO:0002682","regulation of immune system process",6,"6/50","CMKLR1/SELP/PSG1/SELE/PSG6/GPR171"
