"","gene_names"
"1","AL627309.1"
"2","AC114498.1"
"3","AL669831.5"
"4","LINC00115"
"5","FAM41C"
"6","AL645608.7"
"7","NOC2L"
"8","KLHL17"
"9","AL645608.8"
"10","HES4"
"11","ISG15"
"12","AGRN"
"13","C1ORF159"
"14","TTLL10"
"15","TNFRSF18"
"16","TNFRSF4"
"17","SDF4"
"18","B3GALT6"
"19","C1QTNF12"
"20","UBE2J2"
"21","LINC01786"
"22","SCNN1D"
"23","ACAP3"
"24","PUSL1"
"25","INTS11"
"26","CPTP"
"27","DVL1"
"28","AURKAIP1"
"29","CCNL2"
"30","MRPL20"
"31","AL391244.3"
"32","ANKRD65"
"33","VWA1"
"34","ATAD3C"
"35","ATAD3B"
"36","ATAD3A"
"37","TMEM240"
"38","SSU72"
"39","AL645728.1"
"40","FNDC10"
"41","AL691432.2"
"42","MIB2"
"43","MMP23B"
"44","CDK11B"
"45","FO704657.1"
"46","SLC35E2B"
"47","CDK11A"
"48","SLC35E2A"
"49","NADK"
"50","GNB1"
"51","AL109917.1"
"52","TMEM52"
"53","CFAP74"
"54","AL391845.2"
"55","GABRD"
"56","PRKCZ"
"57","AL590822.2"
"58","FAAP20"
"59","AL590822.1"
"60","SKI"
"61","MORN1"
"62","RER1"
"63","PEX10"
"64","PLCH2"
"65","PANK4"
"66","HES5"
"67","AL139246.5"
"68","TNFRSF14-AS1"
"69","TNFRSF14"
"70","AL139246.3"
"71","FAM213B"
"72","MMEL1"
"73","TTC34"
"74","PRDM16"
"75","ARHGEF16"
"76","MEGF6"
"77","AL513320.1"
"78","TPRG1L"
"79","WRAP73"
"80","TP73"
"81","SMIM1"
"82","LRRC47"
"83","CEP104"
"84","DFFB"
"85","C1ORF174"
"86","LINC01134"
"87","AL805961.2"
"88","AJAP1"
"89","BX005132.1"
"90","AL365255.1"
"91","NPHP4"
"92","KCNAB2"
"93","CHD5"
"94","RPL22"
"95","RNF207"
"96","ICMT"
"97","GPR153"
"98","ACOT7"
"99","AL031848.2"
"100","HES2"
"101","ESPN"
"102","TNFRSF25"
"103","PLEKHG5"
"104","NOL9"
"105","TAS1R1"
"106","ZBTB48"
"107","KLHL21"
"108","PHF13"
"109","THAP3"
"110","DNAJC11"
"111","CAMTA1-DT"
"112","CAMTA1"
"113","AL512330.1"
"114","VAMP3"
"115","PER3"
"116","Z98884.1"
"117","UTS2"
"118","PARK7"
"119","AL034417.4"
"120","AL034417.3"
"121","ERRFI1"
"122","AL034417.2"
"123","SLC45A1"
"124","RERE"
"125","AL096855.1"
"126","ENO1"
"127","ENO1-AS1"
"128","CA6"
"129","SLC2A7"
"130","SLC2A5"
"131","GPR157"
"132","MIR34AHG"
"133","LINC01759"
"134","H6PD"
"135","SPSB1"
"136","AL928921.2"
"137","SLC25A33"
"138","TMEM201"
"139","PIK3CD"
"140","PIK3CD-AS2"
"141","CLSTN1"
"142","CTNNBIP1"
"143","LZIC"
"144","NMNAT1"
"145","RBP7"
"146","UBE4B"
"147","KIF1B"
"148","AL139424.3"
"149","AL139424.2"
"150","PGD"
"151","CENPS-CORT"
"152","DFFA"
"153","PEX14"
"154","CASZ1"
"155","AL139423.1"
"156","TARDBP"
"157","AL109811.4"
"158","MASP2"
"159","SRM"
"160","EXOSC10"
"161","AL109811.1"
"162","AL109811.2"
"163","MTOR"
"164","ANGPTL7"
"165","UBIAD1"
"166","AL031291.1"
"167","DISP3"
"168","AL031731.1"
"169","FBXO2"
"170","FBXO44"
"171","FBXO6"
"172","MAD2L2"
"173","DRAXIN"
"174","AGTRAP"
"175","C1ORF167"
"176","MTHFR"
"177","CLCN6"
"178","NPPA-AS1"
"179","NPPA"
"180","KIAA2013"
"181","PLOD1"
"182","MFN2"
"183","MIIP"
"184","TNFRSF8"
"185","VPS13D"
"186","DHRS3"
"187","LRRC38"
"188","PDPN"
"189","PRDM2"
"190","KAZN"
"191","KAZN-AS1"
"192","TMEM51-AS1"
"193","TMEM51"
"194","C1ORF195"
"195","FHAD1"
"196","AL031283.2"
"197","AL031283.1"
"198","EFHD2"
"199","CTRC"
"200","CELA2B"
"201","CASP9"
"202","DNAJC16"
"203","AGMAT"
"204","AL121992.1"
"205","DDI2"
"206","PLEKHM2"
"207","AL450998.3"
"208","SLC25A34"
"209","SLC25A34-AS1"
"210","FBLIM1"
"211","UQCRHL"
"212","AL450998.2"
"213","SPEN"
"214","ZBTB17"
"215","HSPB7"
"216","CLCNKA"
"217","FAM131C"
"218","CPLANE2"
"219","FBXO42"
"220","SZRD1"
"221","SPATA21"
"222","NECAP2"
"223","LINC01772"
"224","AL137802.2"
"225","NBPF1"
"226","CROCC"
"227","BX284668.5"
"228","BX284668.6"
"229","AL049569.1"
"230","ATP13A2"
"231","SDHB"
"232","PADI2"
"233","PADI4"
"234","RCC2"
"235","ARHGEF10L"
"236","AL357509.1"
"237","LINC01654"
"238","IGSF21"
"239","IGSF21-AS1"
"240","AL591896.1"
"241","PAX7"
"242","IFFO2"
"243","UBR4"
"244","AL035413.1"
"245","EMC1"
"246","MRTO4"
"247","AKR7A3"
"248","AKR7A2"
"249","PQLC2"
"250","CAPZB"
"251","NBL1"
"252","HTR6"
"253","TMCO4"
"254","OTUD3"
"255","PLA2G5"
"256","PLA2G2C"
"257","UBXN10-AS1"
"258","UBXN10"
"259","VWA5B1"
"260","LINC01141"
"261","CAMK2N1"
"262","MUL1"
"263","FAM43B"
"264","CDA"
"265","PINK1"
"266","PINK1-AS"
"267","DDOST"
"268","KIF17"
"269","SH2D5"
"270","HP1BP3"
"271","EIF4G3"
"272","ECE1"
"273","NBPF3"
"274","ALPL"
"275","AL359815.1"
"276","RAP1GAP"
"277","USP48"
"278","LDLRAD2"
"279","HSPG2"
"280","CELA3B"
"281","CDC42"
"282","WNT4"
"283","ZBTB40"
"284","EPHA8"
"285","C1QA"
"286","C1QB"
"287","EPHB2"
"288","TEX46"
"289","KDM1A"
"290","AL031428.1"
"291","LUZP1"
"292","HTR1D"
"293","LINC01355"
"294","AL109936.6"
"295","HNRNPR"
"296","ZNF436"
"297","ZNF436-AS1"
"298","TCEA3"
"299","ASAP3"
"300","ID3"
"301","MDS2"
"302","RPL11"
"303","ELOA"
"304","ELOA-AS1"
"305","PITHD1"
"306","LYPLA2"
"307","GALE"
"308","HMGCL"
"309","FUCA1"
"310","CNR2"
"311","PNRC2"
