"","gene_names"
"1","TSPAN6"
"2","DPM1"
"3","SCYL3"
"4","C1ORF112"
"5","CFH"
"6","FUCA2"
"7","GCLC"
"8","NFYA"
"9","STPG1"
"10","NIPAL3"
"11","LAS1L"
"12","ENPP4"
"13","SEMA3F"
"14","CFTR"
"15","ANKIB1"
"16","CYP51A1"
"17","KRIT1"
"18","RAD52"
"19","BAD"
"20","LAP3"
"21","CD99-ENSG00000002586"
"22","HS3ST1"
"23","HECW1"
"24","MAD1L1"
"25","LASP1"
"26","SNX11"
"27","M6PR"
"28","KLHL13"
"29","CYP26B1"
"30","ICA1"
"31","DBNDD1"
"32","ALS2"
"33","CASP10"
"34","CFLAR"
"35","TFPI"
"36","NDUFAF7"
"37","RBM5"
"38","MTMR7"
"39","SLC7A2"
"40","ARF5"
"41","SARM1"
"42","POLDIP2"
"43","PLXND1"
"44","AK2"
"45","CD38"
"46","FKBP4"
"47","KDM1A"
"48","RBM6"
"49","CAMKK1"
"50","RECQL"
"51","VPS50"
"52","ARHGAP33"
"53","NDUFAB1"
"54","PDK4"
"55","SLC22A16"
"56","ZMYND10"
"57","ABCB5"
"58","ARX"
"59","SLC25A13"
"60","ST7"
"61","CDC27"
"62","SLC4A1"
"63","HCCS"
"64","DVL2"
"65","UPF1"
"66","SKAP2"
"67","SLC25A5"
"68","MCUB"
"69","POLR2J"
"70","DHX33"
"71","MEOX1"
"72","THSD7A"
"73","LIG3"
"74","RPAP3"
"75","ACSM3"
"76","REXO5"
"77","CIAPIN1"
"78","SPPL2B"
"79","ATOSB"
"80","PRKAR2B"
"81","MSL3"
"82","CREBBP"
"83","TSPOAP1"
"84","MPO"
"85","PON1"
"86","GCFC2"
"87","WDR54"
"88","CROT"
"89","ABCB4"
"90","KMT2E"
"91","RHBDD2"
"92","SOX8"
"93","IBTK"
"94","ZNF195"
"95","MYCBP2"
"96","FBXL3"
"97","ITGAL"
"98","PDK2"
"99","ITGA3"
"100","ZFX"
"101","LAMP2"
"102","ITGA2B"
"103","GDE1"
"104","REX1BD"
"105","CRLF1"
"106","OSBPL7"
"107","TMEM98"
"108","YBX2"
"109","MAP3K14"
"110","ABCC8"
"111","CACNG3"
"112","TMEM132A"
"113","AP2B1"
"114","TAC1"
"115","ZNF263"
"116","CX3CL1"
"117","SPATA20"
"118","CACNA1G"
"119","MAP3K9"
"120","RALA"
"121","BAIAP2L1"
"122","KDM7A"
"123","ETV1"
"124","AGK"
"125","ALDH3B1"
"126","TTC22"
"127","PHTF2"
"128","FARP2"
"129","USH1C"
"130","GGCT"
"131","DBF4"
"132","IFRD1"
"133","COX10"
"134","GTF2IRD1"
"135","PAF1"
"136","VPS41"
"137","ARHGAP44"
"138","ELAC2"
"139","SCIN"
"140","ARSD"
"141","PNPLA4"
"142","MYH13"
"143","ADIPOR2"
"144","CDKL3"
"145","UPP2"
"146","MARK4"
"147","PROM1"
"148","CCDC124"
"149","PAFAH1B1"
"150","NOS2"
"151","DNAH9"
"152","BLTP2"
"153","GAS7"
"154","TRAPPC6A"
"155","MATK"
"156","ST7L"
"157","PAX6"
"158","RPUSD1"
"159","RHBDF1"
"160","LUC7L"
"161","CACNA2D2"
"162","BAIAP3"
"163","TSR3"
"164","PIGQ"
"165","CRAMP1"
"166","SELE"
"167","DNAJC11"
"168","MYLIP"
"169","NOX1"
"170","PSMB1"
"171","SYN1"
"172","JARID2"
"173","CDKL5"
"174","CAMK1G"
"175","CDK11A"
"176","NADK"
"177","TFAP2D"
"178","DLEC1"
"179","CYTH3"
"180","ADAM22"
"181","SYPL1"
"182","CYB561"
"183","SPAG9"
"184","CELSR3"
"185","AASS"
"186","SS18L2"
"187","MPND"
"188","MGST1"
"189","CRY1"
"190","PGLYRP1"
"191","NFIX"
"192","ST3GAL1"
